 ,dni,dhi,wind_speed,ghi,air_temperature,dew_point,relative_humidity,surface_pressure
2022,0,0,1,0,22.1,21.5,96.62,958
2022,0,0,1,0,22,21.2,95.35,958
2022,0,0,1,0,21.9,21,94.5,958
2022,0,0,1.1,0,21.8,20.8,94.25,959
2022,0,9,1.8,9,23.2,21.5,90.14,959
2022,1,88,2.5,88,25.1,21.8,82.1,960
2022,0,34,3,34,27,22.1,74.7,960
2022,0,117,3.1,117,28.4,22.5,70.4,960
2022,315,384,3.2,648,29.4,22.8,67.74,960
2022,231,453,3.1,671,30.1,23.2,66.51,959
2022,769,239,3,1003,30.5,23.5,66.29,959
2022,876,179,3,1041,30.6,23.7,66.65,958
2022,821,197,2.9,947,30.5,23.8,67.34,957
2022,666,252,2.7,779,30.1,23.8,68.89,956
2022,431,260,2.5,528,29.5,23.8,71.37,956
2022,295,198,2,321,28.6,24,76.2,956
2022,25,97,1.1,102,26.7,24.3,86.79,956
2022,0,0,0.9,0,25.5,23.8,90.56,957
2022,0,0,0.9,0,25,23.7,92.59,958
2022,0,0,0.9,0,24.6,23.6,94.1,959
2022,0,0,1,0,24.4,23.5,94.53,959
2022,0,0,1.1,0,24.2,23.3,94.84,959
2022,0,0,1,0,23.9,23.2,95.69,959
2022,0,0,1,0,23.6,23,96.54,958
2022,0,0,1.2,0,23.4,22.9,97.15,958
2022,0,0,1.3,0,23.2,22.9,97.92,958
2022,0,0,1.3,0,23,22.7,98.41,958
2022,0,0,1.3,0,22.8,22.6,98.64,959
2022,0,14,1.9,14,23.7,22.9,95.07,960
2022,33,126,2.5,135,25,23.2,89.94,960
2022,220,232,2.7,339,26.3,23.4,84.27,961
2022,64,314,2.4,358,27.6,23.4,77.79,961
2022,249,377,1.6,585,28.4,23.4,74.21,961
2022,2,241,0.9,243,29,23.4,72.02,960
2022,103,492,0.9,595,29.3,23.5,71.18,960
2022,363,524,1.1,880,29.4,23.6,70.87,959
2022,7,417,1.4,424,29.3,23.5,71.2,959
2022,3,228,1.5,230,28.9,23.5,72.66,958
2022,3,170,1.5,172,28.4,23.6,75.1,958
2022,1,90,1.3,90,27.6,23.8,79.59,957
2022,1,52,0.8,52,26,24,88.94,958
2022,0,0,0.8,0,24.9,23.6,92.66,958
2022,0,0,0.9,0,24.4,23.4,94.38,958
2022,0,0,0.9,0,24,23.3,95.89,959
2022,0,0,0.9,0,23.7,23.2,96.91,959
2022,0,0,0.8,0,23.5,23.1,97.47,959
2022,0,0,0.7,0,23.5,23,96.87,958
2022,0,0,0.6,0,23.6,22.9,95.63,958
2022,0,0,0.5,0,23.6,22.7,94.9,958
2022,0,0,0.5,0,23.5,22.6,94.99,958
2022,0,0,0.5,0,23.3,22.6,95.92,958
2022,0,0,0.5,0,23.1,22.6,96.85,959
2022,0,11,0.9,11,23.7,23.1,96.25,960
2022,1,87,1.5,87,24.6,23.3,92.22,960
2022,620,133,1.4,433,25.9,23.3,85.74,961
2022,749,153,1.2,663,27.4,23.2,77.71,961
2022,829,162,1.2,855,28.9,23.1,70.83,961
2022,869,169,1.5,989,30,22.8,65.55,960
2022,885,174,1.8,1054,30.5,22.8,63.38,959
2022,879,178,2,1043,30.7,22.7,62.53,958
2022,305,431,2,710,30.8,22.7,61.93,957
2022,57,370,1.8,416,30.7,22.6,62.06,957
2022,743,142,1.4,605,30.5,22.6,62.95,956
2022,600,117,1.1,368,30,22.3,63.36,957
2022,326,71,0.7,134,27.9,23.2,75.83,957
2022,0,0,0.8,0,26.4,22.4,78.51,958
2022,0,0,0.9,0,25.5,22.3,82.62,959
2022,0,0,0.8,0,25,22.3,84.84,959
2022,0,0,0.7,0,24.6,22.5,87.93,960
2022,0,0,0.6,0,24.2,22.6,90.72,960
2022,0,0,0.6,0,24,22.6,91.93,960
2022,0,0,0.7,0,23.7,22.4,92.68,959
2022,0,0,0.8,0,23.5,22.2,92.38,959
2022,0,0,0.9,0,23,21.8,92.78,959
2022,0,0,0.9,0,22.5,21.2,92.62,959
2022,0,0,0.9,0,22,20.8,93.12,960
2022,48,14,1.4,16,23.4,21.7,90,960
2022,451,85,1.8,203,25.2,22.2,83.43,961
2022,657,125,1.5,443,27.6,22.5,73.73,961
2022,764,152,1.9,671,29.5,22.2,64.77,961
2022,808,181,2.3,857,30.5,22.3,61.75,961
2022,865,178,2.6,993,30.9,22.4,60.62,961
2022,1,377,2.8,378,31.2,22.3,59.26,960
2022,880,178,2.9,1045,31.4,22.3,58.46,959
2022,0,36,2.8,36,31.6,22.2,57.39,958
2022,33,361,2.5,388,31.5,21.9,56.91,958
2022,670,177,2,595,30.9,21.7,58.04,957
2022,521,142,1.8,360,29.7,21.8,62.54,957
2022,260,79,1.1,130,27.1,22.5,76.11,958
2022,0,0,1.3,0,25.8,21.3,76.24,958
2022,0,0,1.4,0,25.1,20.8,76.85,959
2022,0,0,1.2,0,24.5,20.3,77.63,960
2022,0,0,0.9,0,24.1,20.1,78.53,961
2022,0,0,0.6,0,23.9,20.2,79.9,961
2022,0,0,0.4,0,24,20.1,78.63,961
2022,0,0,0.6,0,23.5,19.8,79.65,960
2022,0,0,0.8,0,23,19.4,80.11,960
2022,0,0,0.9,0,22.6,19,80.08,960
2022,0,0,0.9,0,22.5,18.8,79.59,960
2022,0,0,0.9,0,22.4,18.7,79.45,961
2022,23,11,0.8,11,23.8,20.5,81.91,961
2022,379,94,1.2,193,26.8,19.5,64.16,962
2022,618,137,1.2,435,30.1,18.5,49.8,962
2022,756,156,1.6,668,30.9,18.8,48.52,962
2022,839,166,1.8,866,31.4,19.5,49.27,961
2022,806,220,1.8,979,32,19.8,48.67,961
2022,827,222,1.7,1043,32.3,20.2,48.79,960
2022,834,216,1.7,1038,32.5,20.3,48.65,959
2022,82,477,1.6,552,32.4,20.3,49.07,959
2022,0,73,1.5,73,32.1,20.4,50.17,958
2022,0,17,1.3,17,32,20.1,49.4,958
2022,0,30,1.1,30,31.1,19.3,49.5,958
2022,0,39,0.8,39,28.2,21.5,67.02,958
2022,0,0,0.9,0,26.1,20.7,72.15,959
2022,0,0,1,0,25.1,20.4,75.22,959
2022,0,0,1.1,0,24.4,20.5,78.68,960
2022,0,0,1.1,0,23.8,20.6,82.33,960
2022,0,0,1.1,0,23.3,20.7,85.57,960
2022,0,0,1.1,0,22.9,20.8,88.07,960
2022,0,0,1.1,0,22.6,20.9,89.97,959
2022,0,0,1.1,0,22.3,20.9,91.97,960
2022,0,0,1.1,0,22.2,21,92.72,960
2022,0,0,1.1,0,22,20.9,93.66,960
2022,0,0,1,0,21.8,20.8,94.29,961
2022,13,8,1.3,8,22.8,21.7,93.74,962
2022,330,98,1.8,183,24.2,22.5,90.51,963
2022,193,278,2.4,371,25.5,23,86.12,963
2022,7,299,2.9,304,26.9,22.9,78.6,963
2022,750,168,3,793,28,22.7,72.97,963
2022,550,332,3.1,850,28.4,22.7,71.08,962
2022,275,482,3.2,755,28.3,22.7,71.54,962
2022,853,155,3.2,996,28.1,22.6,72.25,961
2022,751,231,3.2,920,27.7,22.6,73.61,961
2022,831,149,3,810,27.3,22.5,75.21,961
2022,763,130,2.8,607,26.7,22.6,78.03,961
2022,645,102,2.2,374,26,22.7,82.27,961
2022,402,61,1.4,140,24.8,22.9,89.27,961
2022,0,0,1.1,0,24,22.8,92.99,962
2022,0,0,1.1,0,23.5,22.7,95.42,962
2022,0,0,1.1,0,23.2,22.6,96.71,963
2022,0,0,1.1,0,23,22.5,97.06,963
2022,0,0,1.2,0,22.7,22.3,97.84,963
2022,0,0,1.4,0,22.5,22.2,97.99,963
2022,0,0,1.6,0,22.2,22,98.66,962
2022,0,0,1.7,0,22,21.8,98.72,962
2022,0,0,1.9,0,21.9,21.6,98.28,962
2022,0,0,2,0,21.8,21.5,98.19,962
2022,0,0,2.2,0,21.8,21.4,97.86,963
2022,0,10,2.8,10,22.4,21.6,95.11,963
2022,529,69,3.8,205,23.7,21.7,88.6,964
2022,737,96,4.4,448,25.2,21.7,80.76,964
2022,845,110,4.7,681,26.6,21.6,74.14,964
2022,906,119,4.9,873,27.7,21.6,69.6,964
2022,941,122,5.1,1008,28.4,21.7,67.06,963
2022,639,352,5.2,988,28.9,21.8,65.56,962
2022,277,537,5.2,810,29,22,65.9,962
2022,917,130,5.2,972,28.9,22.1,66.63,961
2022,881,121,5.1,823,28.7,22.1,67.45,960
2022,815,108,4.8,619,28.1,22,69.37,960
2022,696,89,4.2,383,27.2,21.9,72.9,960
2022,458,55,3.1,145,25.7,22.1,80.31,960
