,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
47,1083.014,1014.507,975.868,953.115,946.162,980.828,1046.602,1082.396,1135.878,1173.443,1201.621,1214.851,1167.708,1155.923,1169.8,1173.835,1156.107,1110.042,1124.939,1291.927,1292.416,1233.971,1133.054,1022.886
48,939.435,888.229,853.491,834.221,828.741,858.597,852.417,885.285,967.216,1033.519,1060.563,1062.969,1036.274,1016.604,1020.829,1009.616,994.75,984.279,1022.28,1207.683,1214.737,1167.531,1077.012,977.931
49,898.755,841.779,809.182,786.57,772.055,776.145,731.108,747.351,808.56,858.551,887.201,900.886,906.063,899.569,900.327,903.422,902.777,904.541,936.703,1128.678,1163.891,1118.912,1031.285,938.758
50,864.177,802.112,769.146,750.119,745.815,755.199,704.884,732.435,804.379,869.439,915.708,945.135,948.601,951.743,961.564,966.385,964.759,963.925,995.767,1192.179,1229.226,1187.463,1100.792,997.702
51,907.219,846.584,805.594,785.024,779.058,781.21,722.54,741.299,809.02,876.72,924.672,956.299,964.862,963.921,963.916,982.806,998.875,1010.737,1056.282,1259.628,1296.959,1252.015,1158.416,1058.138
52,964.14,906.32,870.027,843.147,834.818,853.645,897.563,986.387,1112.436,1206.958,1269.993,1323.691,1314.99,1348.659,1396.104,1411.396,1385.211,1317.716,1294.075,1467.773,1487.335,1438.924,1330.582,1202.764
53,1099.559,1022.107,987.758,964.505,955.988,982.2,1024.201,1086.208,1184.976,1259.061,1295.461,1318.432,1279.135,1319.614,1378.054,1398.785,1380.128,1321.392,1288.435,1477.016,1495.573,1438.094,1314.628,1178.751
54,1086.616,1019.419,985.282,963.25,957.73,992.536,1068.981,1132.068,1213.453,1280.022,1302.131,1316.764,1280.892,1309.952,1358.725,1371.191,1336.135,1291.124,1281.034,1465.476,1471.938,1410.747,1293.041,1187.669
55,1096.365,1027.854,979.692,956.323,953.447,974.843,969.875,1023.928,1146.803,1236.935,1282.229,1306.292,1283.187,1277.691,1295.755,1297.352,1258.152,1223.729,1242.485,1430.344,1445.695,1398.285,1309.624,1196.268
56,1095.839,1019.639,974.493,936.218,921.223,921.402,871.603,873.421,933.065,989.789,1040.84,1077.44,1085.524,1090.005,1100.954,1111.435,1116.247,1114.421,1176.19,1357.477,1368.778,1315.081,1205.305,1085.866
57,994.327,927.257,891.371,873.762,867.758,903.461,1007.233,1086.361,1159.084,1239.511,1272.525,1318.761,1304.15,1312.32,1342.175,1360.42,1334.5,1273.029,1256.556,1450.07,1462.631,1408.21,1297.556,1174.804
58,1081.67,1009.211,969.43,953.668,955.376,983.901,1033.726,1119.946,1222.391,1311.399,1369.647,1416.249,1383.98,1432.827,1489.481,1503.798,1469.719,1400.996,1363.527,1547.46,1561.846,1512.892,1400.378,1273.894
59,1163.636,1082.921,1033.587,1007.454,1006.026,1036.538,1108.271,1176.427,1274.795,1349.326,1408.978,1448.753,1420.641,1457.512,1523.918,1533.298,1493.494,1418.074,1395.832,1554.453,1554.101,1494.699,1379.63,1258.462
60,1154.86,1083.876,1037.468,1010.363,1006.07,1036.117,1108.779,1173.829,1269.579,1352.538,1386.574,1422.158,1365.341,1374.275,1419.534,1391.181,1351.862,1285.937,1279.3,1443.876,1455.27,1393.689,1277.837,1163.528
61,1067.567,1000.183,962.288,957.592,951.097,992.638,1082.834,1145.206,1205.526,1265.509,1276.462,1303.743,1261.263,1282.141,1335.708,1343.28,1322.989,1265.719,1250.906,1428.301,1425.29,1365.908,1258.366,1135.836
62,1044.626,977.563,945.085,930.471,927.582,947.769,952.622,1013.177,1121.192,1212.746,1261.577,1288.114,1271.126,1264.101,1282.298,1276.745,1260.882,1231.875,1250.416,1435.169,1435.269,1377.42,1274.708,1166.664
63,1069.613,1000.484,956.481,923.038,902.992,902.035,847.406,872.624,955.869,1026.401,1074.919,1112.011,1129.846,1142.421,1170.335,1195.728,1202.368,1192.396,1229.219,1440.96,1462.198,1416.621,1318.983,1190.379
64,1086.636,1013.579,969.8,945.049,943.368,976.923,1080.296,1155.515,1237.574,1322.314,1392.785,1451.461,1424.696,1458.519,1501.456,1517.684,1483.616,1411.053,1381.608,1553.048,1559.897,1500.391,1391.674,1268.758
65,1160.907,1083.231,1036.955,1015.266,1005.84,1037.093,1108.888,1184.518,1292.217,1369.015,1410.016,1443.218,1407.816,1448.873,1499.5,1498.514,1465.399,1419.729,1427.09,1565.157,1560.197,1501.99,1388.491,1264.573
